['2', '3', '7', 'Q', 'A'] 396
['K', 'K', '4', 'K', '6'] 639
['K', 'K', 'T', 'J', 'A'] 910
['K', 'K', 'T', 'K', '8'] 993
['K', 'K', 'T', 'K', 'A'] 619
['K', 'K', 'K', '2', '4'] 603
['K', 'K', 'K', '7', 'A'] 303
['K', 'A', 'K', 'K', '3'] 345
['A', 'J', '4', 'K', 'K'] 431
['A', '2', '2', '2', 'K'] 393
['A', '2', 'A', '5', 'A'] 351
['A', '3', '5', 'A', 'A'] 273
['A', '4', '4', '9', '4'] 147
['A', '6', '9', '9', 'J'] 935
['A', '6', 'A', 'Q', 'A'] 182
['A', '7', '2', '2', '2'] 356
['A', '9', '4', 'J', 'A'] 334
['A', 'T', '7', '7', '7'] 727
['A', 'T', 'A', 'J', '5'] 456
['A', 'Q', 'J', 'Q', 'K'] 380
['A', 'A', '5', 'A', '4'] 198
['A', 'A', '7', '2', 'A'] 429
['A', 'A', 'K', 'J', 'T'] 628
['A', 'A', 'K', '7', 'A'] 916
['A', 'A', 'A', 'T', 'Q'] 701
['J', '4', '4', '7', '7'] 406
['J', '4', 'T', 'T', '4'] 602
['J', '6', '5', '5', '6'] 250
['J', '7', '7', '5', '5'] 669
['J', '8', '8', '5', '5'] 71
['J', '8', '8', '6', '6'] 510
['J', 'A', '3', '3', 'A'] 696
['2', '2', '2', '4', '4'] 454
['2', '2', '3', '2', '3'] 46
['2', '2', '3', '3', 'J'] 355
['2', '2', '4', '4', '4'] 226
['2', '2', '5', '5', '2'] 924
['2', '2', '7', '7', '7'] 851
['2', '2', '8', '2', '8'] 922
['2', '2', 'K', '2', 'K'] 193
['2', '3', '2', '3', '3'] 708
['2', '5', '5', '5', '2'] 188
['3', '3', '3', '6', '6'] 350
['3', '3', '3', '8', '8'] 304
['3', '3', '5', '5', '3'] 294
['3', '3', 'K', '3', 'K'] 928
['3', '5', 'J', '5', '3'] 434
['3', '5', '3', '5', '5'] 647
['3', '6', '6', '6', '3'] 626
['3', '7', '3', '7', '7'] 513
['3', '9', '3', '9', 'J'] 305
['3', 'T', '3', 'T', 'T'] 11
['3', 'Q', '3', 'Q', 'Q'] 176
['3', 'A', 'A', '3', 'A'] 772
['4', 'J', '3', '3', '4'] 224
['4', '4', '5', '4', '5'] 2
['4', '4', '5', '5', '5'] 878
['4', '6', '6', '4', '4'] 546
['4', '8', 'J', '4', '8'] 310
['4', '8', '4', '8', '4'] 276
['4', '8', '4', '8', '8'] 729
['4', 'T', '4', '4', 'T'] 836
['4', 'K', 'K', '4', '4'] 870
['4', 'K', 'K', '4', 'K'] 152
['4', 'A', '4', 'A', '4'] 950
['4', 'A', 'A', '4', 'J'] 572
['5', 'J', 'A', 'A', '5'] 753
['5', '8', '5', '8', '8'] 13
['5', 'K', '5', '5', 'K'] 189
['6', 'J', '6', '2', '2'] 212
['6', '6', '6', '2', '2'] 735
['6', '6', '7', '7', '6'] 262
['6', '6', '9', '9', 'J'] 956
['6', '6', 'A', 'A', 'J'] 211
['6', '8', '6', '8', '6'] 747
['7', 'J', '6', '6', '7'] 953
['7', '5', '7', '5', '5'] 677
['7', '7', 'J', 'Q', 'Q'] 413
['7', '7', '7', '5', '5'] 595
['7', '7', '7', '9', '9'] 157
['7', '9', '9', '7', '9'] 862
['7', 'K', '7', 'K', '7'] 279
['8', '2', '8', '2', '8'] 875
['8', '5', '8', '5', '5'] 268
['8', '6', '8', '6', '8'] 443
['8', '7', 'J', '8', '7'] 833
['8', '8', 'J', '9', '9'] 419
['8', '8', '7', '8', '7'] 816
['8', '8', '9', '9', '8'] 826
['8', '8', 'Q', 'Q', '8'] 522
['8', '8', 'K', '8', 'K'] 911
['9', '3', '3', '9', '9'] 328
['9', '6', '6', '9', '6'] 777
['9', '8', '8', '9', '9'] 467
['9', '9', '4', '9', '4'] 133
['9', '9', '6', '6', '9'] 536
['9', '9', 'Q', 'Q', 'J'] 299
['9', 'T', '9', 'J', 'T'] 85
['9', 'T', '9', '9', 'T'] 352
['9', 'T', 'T', '9', 'T'] 558
['9', 'Q', '9', 'Q', '9'] 721
['9', 'A', 'A', 'A', '9'] 615
['T', '2', 'T', '2', '2'] 231
['T', '5', '5', 'T', 'T'] 702
['T', '7', 'T', 'J', '7'] 590
['T', '7', 'T', '7', 'T'] 528
['T', '8', 'J', '8', 'T'] 955
['T', '8', '8', '8', 'T'] 576
['T', '8', '8', 'T', 'T'] 91
['T', 'T', '2', '2', 'T'] 814
['T', 'T', '6', '6', '6'] 339
['T', 'T', '7', '7', '7'] 259
['T', 'T', 'T', '4', '4'] 95
['T', 'T', 'K', 'T', 'K'] 329
['Q', '5', '5', '5', 'Q'] 121
['Q', '6', '6', 'Q', 'Q'] 743
['Q', '7', '7', 'Q', 'Q'] 804
['Q', '8', 'Q', 'Q', '8'] 60
['Q', '9', 'Q', 'Q', '9'] 101
['Q', 'T', 'T', 'Q', 'Q'] 877
['Q', 'Q', 'J', '8', '8'] 533
['Q', 'Q', '4', '4', '4'] 405
['Q', 'Q', '4', 'Q', '4'] 190
['Q', 'Q', '5', '5', 'J'] 490
['Q', 'K', 'Q', 'K', 'Q'] 432
['Q', 'A', 'J', 'Q', 'A'] 837
['K', '5', 'K', '5', 'K'] 787
['K', '6', 'K', '6', 'K'] 525
['K', '9', '9', 'J', 'K'] 598
['K', 'K', 'J', 'T', 'T'] 889
['K', 'K', '2', '2', 'K'] 236
['K', 'K', '3', 'K', '3'] 326
['K', 'K', '7', '7', 'K'] 81
['K', 'K', '8', 'K', '8'] 954
['K', 'K', 'T', 'K', 'T'] 992
['K', 'K', 'K', 'A', 'A'] 571
['A', 'J', '9', '9', 'A'] 257
['A', 'J', 'A', '8', '8'] 692
['A', '5', 'A', 'A', '5'] 959
['A', '7', '7', '7', 'A'] 165
['A', 'T', 'A', 'T', 'A'] 258
['A', 'Q', 'A', 'Q', 'Q'] 742
['A', 'K', 'A', 'K', 'A'] 42
['A', 'A', '6', '6', '6'] 68
['A', 'A', '7', '7', 'A'] 782
['A', 'A', '8', 'A', '8'] 675
['A', 'A', 'Q', 'Q', 'A'] 470
['A', 'A', 'K', 'K', 'J'] 663
['J', 'J', '5', '5', '3'] 526
['J', '2', '2', '2', '9'] 604
['J', '3', '3', 'J', '6'] 812
['J', '3', '9', '9', '9'] 292
['J', '4', '2', '2', '2'] 90
['J', '4', '4', '4', '9'] 55
['J', '4', '8', '8', '8'] 105
['J', '5', '5', '5', '3'] 901
['J', '5', '5', '5', 'Q'] 561
['J', '5', 'T', 'T', 'J'] 617
['J', '6', 'T', 'T', 'T'] 483
['J', '7', '7', '4', '7'] 774
['J', '9', 'J', '3', '9'] 145
['J', '9', '9', 'T', '9'] 900
['J', '9', '9', 'A', '9'] 166
['J', 'Q', 'Q', '5', 'Q'] 435
['J', 'Q', 'Q', '9', 'Q'] 845
['J', 'Q', 'K', 'Q', 'Q'] 272
['J', 'A', '2', '2', '2'] 25
['J', 'A', 'T', 'T', 'T'] 89
['J', 'A', 'A', 'Q', 'A'] 136
['2', 'J', 'K', '2', '2'] 437
['2', '2', '2', '2', 'K'] 497
['2', '2', '2', '8', '2'] 321
['2', '2', '2', 'A', '2'] 12
['2', '2', '8', '2', 'J'] 277
['2', '2', '9', '2', '2'] 713
['2', '3', '2', '2', '2'] 271
['2', '5', '2', 'J', '2'] 43
['2', '8', 'J', '8', '8'] 191
['2', 'T', '2', '2', '2'] 213
['3', 'J', 'J', 'A', 'A'] 158
['3', 'J', '6', '3', '3'] 17
['3', 'J', '7', '3', '3'] 768
['3', '3', 'J', '4', '3'] 320
['3', '3', '3', 'J', '5'] 903
['3', '3', '3', '3', '2'] 128
['3', '3', '3', '9', 'J'] 368
['3', '3', '3', '9', '3'] 360
['3', '3', 'Q', '3', '3'] 45
['3', '3', 'K', '3', '3'] 392
['3', '3', 'A', '3', '3'] 785
['3', '5', '3', '3', '3'] 825
['3', '8', '8', '8', '8'] 521
['3', 'K', 'K', 'K', 'J'] 479
['3', 'K', 'K', 'K', 'K'] 1000
['4', 'J', '2', '2', 'J'] 109
['4', 'J', '4', '4', '5'] 51
['4', '4', '4', '2', '4'] 779
['4', '4', '4', '4', 'K'] 169
['4', '4', '4', '4', 'A'] 762
['4', '4', '4', '8', '4'] 547
['4', '4', '7', '4', '4'] 275
['4', '4', '9', '4', '4'] 240
['4', '9', '9', '9', 'J'] 906
['5', 'J', 'J', '2', '2'] 141
['5', 'J', 'J', 'T', '5'] 287
['5', 'J', '7', '5', 'J'] 917
['5', 'J', 'K', '5', 'J'] 484
['5', '2', '5', '5', 'J'] 811
['5', '2', '5', '5', '5'] 861
['5', '3', '5', '5', '5'] 58
['5', '5', 'J', 'A', 'J'] 181
['5', '5', '5', '5', 'K'] 653
['5', '5', '5', '8', '5'] 88
['5', '5', '5', 'A', '5'] 357
['5', '5', 'T', '5', '5'] 451
['5', '8', 'J', '5', '5'] 245
['5', '8', '8', 'J', '8'] 613
['6', 'J', '6', '5', '6'] 480
['6', 'J', '6', '6', '7'] 47
['6', 'J', '6', '6', 'A'] 367
['6', '4', '6', '6', 'J'] 449
['6', '6', '3', 'J', '6'] 6
['6', '6', '6', '4', '6'] 624
['6', '6', '6', '6', '7'] 260
['6', '6', '6', '6', 'A'] 504
['6', '6', '6', '9', '6'] 425
['6', '6', '6', 'T', 'J'] 705
['6', '6', '6', 'T', '6'] 30
['6', '6', 'K', '6', '6'] 829
['6', '8', '8', '8', '8'] 766
['6', 'Q', '6', '6', 'J'] 441
['6', 'A', 'A', 'A', 'A'] 349
['7', 'J', '7', '7', 'A'] 227
['7', '7', '5', '7', '7'] 722
['7', '7', '6', 'J', '7'] 813
['7', '7', '7', '6', '7'] 644
['7', '7', '7', '7', '2'] 117
['7', '7', '7', '7', '3'] 537
['7', '7', '7', '8', 'J'] 160
['7', '7', '9', '7', '7'] 936
['7', '7', 'T', '7', 'J'] 881
['7', 'Q', '7', '7', '7'] 209
['7', 'K', 'K', 'J', 'K'] 874
['8', 'J', '8', '8', 'Q'] 767
['8', 'J', '8', 'A', '8'] 726
['8', '8', 'J', '3', 'J'] 57
['8', '8', 'J', '8', '6'] 373
['8', '8', '8', '2', '8'] 757
['8', '8', '8', '4', '8'] 153
['8', '8', 'A', '8', '8'] 461
['8', '9', '9', '9', 'J'] 850
['8', 'T', 'J', '8', '8'] 187
['8', 'T', 'T', 'T', 'T'] 864
['8', 'K', 'J', 'K', 'K'] 738
['9', 'J', 'K', 'K', 'J'] 197
['9', '2', 'J', '9', 'J'] 80
['9', '5', '5', '5', '5'] 216
['9', '6', '9', '9', 'J'] 947
['9', '9', '9', '2', '9'] 229
['9', '9', '9', '6', '9'] 560
['9', '9', '9', '7', '9'] 652
['9', '9', '9', '9', '8'] 688
['9', '9', 'T', '9', '9'] 605
['9', 'K', 'K', 'K', 'K'] 379
['T', 'J', 'Q', 'Q', 'Q'] 29
['T', '3', '3', '3', 'J'] 803
['T', '8', 'J', 'T', 'T'] 288
['T', 'T', 'J', '5', 'T'] 905
['T', 'T', 'J', '7', 'T'] 771
['T', 'T', '3', 'T', 'T'] 69
['T', 'T', 'T', 'J', '3'] 295
['T', 'T', 'T', '2', 'T'] 733
['T', 'T', 'T', '5', 'T'] 283
['T', 'T', 'T', 'T', '4'] 122
['T', 'T', 'K', 'T', 'T'] 149
['T', 'T', 'A', 'T', 'T'] 77
['T', 'Q', 'T', 'T', 'T'] 681
['Q', '4', 'J', '4', 'J'] 409
['Q', 'Q', 'J', 'Q', '7'] 348
['Q', 'Q', '9', 'Q', 'Q'] 408
['Q', 'Q', 'Q', '2', 'Q'] 666
['Q', 'Q', 'Q', '4', 'Q'] 474
['Q', 'Q', 'Q', '6', 'Q'] 869
['Q', 'Q', 'Q', 'Q', '5'] 185
['Q', 'A', 'J', 'Q', 'Q'] 640
['K', 'J', 'K', 'K', '2'] 907
['K', '5', '5', 'J', '5'] 717
['K', '7', 'K', 'K', 'K'] 9
['K', '8', 'K', 'K', 'K'] 131
['K', 'Q', 'K', 'K', 'K'] 107
['K', 'K', 'J', 'K', '9'] 205
['K', 'K', '2', 'K', 'K'] 986
['K', 'K', '6', 'K', 'K'] 315
['K', 'K', 'K', 'T', 'K'] 908
['A', 'J', 'A', '6', 'A'] 324
['A', 'J', 'A', 'A', 'T'] 140
['A', '5', 'A', 'A', 'A'] 859
['A', '7', '7', '7', '7'] 596
['A', 'T', 'A', 'A', 'A'] 784
['A', 'A', 'J', '4', 'A'] 927
['A', 'A', 'Q', 'A', 'A'] 678
['A', 'A', 'A', '7', 'A'] 531
['A', 'A', 'A', '9', 'J'] 710
['A', 'A', 'A', 'A', '2'] 718
['A', 'A', 'A', 'A', '8'] 424
['A', 'A', 'A', 'A', 'K'] 195
['J', 'J', 'J', 'J', 'J'] 302
['J', 'J', 'J', 'J', '8'] 466
['J', 'J', '3', '3', '3'] 400
['J', 'J', '4', '4', '4'] 530
['J', '7', '7', 'J', '7'] 84
['J', '8', 'J', 'J', '8'] 464
['J', 'T', 'J', 'T', 'T'] 34
['J', 'K', 'K', 'J', 'K'] 824
['J', 'A', 'A', 'J', 'A'] 312
['J', 'A', 'A', 'A', 'A'] 8
['2', '2', 'J', '2', 'J'] 370
['2', '2', 'J', '2', '2'] 789
['3', '3', '3', '3', 'J'] 759
['4', '4', '4', 'J', '4'] 588
['5', 'J', '5', 'J', '5'] 898
['5', '5', '5', '5', 'J'] 933
['6', 'J', '6', 'J', '6'] 704
['6', '6', '6', '6', 'J'] 694
['7', 'J', '7', '7', '7'] 318
['8', '8', 'J', 'J', '8'] 255
['8', '8', 'J', '8', '8'] 343
['9', '9', 'J', '9', 'J'] 16
['9', '9', '9', '9', 'J'] 642
['T', 'J', 'J', 'T', 'J'] 49
['T', 'T', 'J', 'T', 'T'] 687
['Q', 'Q', 'J', 'J', 'Q'] 892
['Q', 'Q', 'Q', 'Q', 'J'] 223
['K', 'J', 'K', 'K', 'K'] 750
